,itemname,tag
113,Mini Chicken Kotthu,Kottu
116,Roast Beef Kotthu,Kottu
117,Vegetable Cheese Kottu,Kottu
118,Fish Cheese Kottu,Kottu
119,Egg Cheese Kottu,Kottu
122,Mocha Kisses 100g,Desserts
123,Roast Beef Cheese Kottu,Kottu
124,Sprinkle Kisses 100g,Desserts
125,Vegetable Dolphin Kottu,Kottu
126,Egg Dolphin Kottu,Kottu
128,Fish Dolphin Kottu,Kottu
129,Roast Beef Dolphin Kottu,Kottu
137,Lindt Opera Cake  1kg,Cakes
140,Salted Caramel Mousse Cake  1kg,Cakes
142,Roast Beef String Hopper's Kottu,Kottu
143,Chocolate Buttercream Delight,Cakes
144,Chicken String Hopper's Kottu (Quarter),Kottu
145,Snicker Cake  1kg,Cakes
150,Chocolate Cake with Single Icing Layer 1kg,Cakes
152,Chocolate Cake with Single Layer 500g,Cakes
157,Chocolate Vanila Birthday Cake 1kg,Cakes
159,Egg Macaroni,Pasta
160,Lindt Ganache Chocolate Cake 1kg,Cakes
161,Chicken Macaroni,Pasta
162,Royal Chocolate Spray Cake 1kg,Cakes
163,Roast Beef Macaroni,Pasta
164,Fish Macaroni,Pasta
165,Vegetable Rotty -(2),Short eats
166,Lind Ganache Sponge Cake 1kg,Cakes
167,Fish Rotty -(2),Short eats
168,Butter Cake 1kg,Cakes
169,Beef Rotty  (2),Short eats
171,Butter Cake  500g,Cakes
172,Egg rolls -(2),Short eats
173,Vegetable Rolls -(2),Short eats
174,Vanila Butter Cake with Single Icing Layer 500g,Cakes
175,Masala Wadde -(5),Bites
176,Egg Cheese Rotti,Roti
177,Plain Cheese Rotti,Roti
179,Plain Rotti  -(5),Roti
187,Dhal Curry ,Curry
188,Chicken Curry,Curry
189,Potato Curry ,Curry
190,Chicken Parts Curry,Curry
191,Roast Beef Deviled Curry,Curry
192,Chicken Liver Curry,Curry
193,Seeni Sambol,Condiments
194,Sprats Curry,Curry
195,Milk Tea -02 Cup,Tea
196,Black Coffee -02 Cup,Coffee
197,Milk Coffee -01 Cup,Coffee
199,Pepsi 1.5L,Soft Drinks
200,7up 1.5L,Soft Drinks
201,Mountain Dew 1.5L,Soft Drinks
202,Merinda 1.5L,Soft Drinks
203,Soda 500ml,Soft Drinks
204,Pepsi 500ml,Soft Drinks
205,7up 500ml,Soft Drinks
206,Mountain Dew 500ml,Soft Drinks
207,Merinda 500ml,Soft Drinks
208,Ginger Beer 4-00ml,Soft Drinks
209,Sting 500ml,Soft Drinks
210,Red Bull,Soft Drinks
212,Coca Cola 400ml,Soft Drinks
213,Sprite 400ml,Soft Drinks
214,Soda 400ml,Soft Drinks
215,Mint & Lime Juice,Fruit Juice
216,Lemon Soda,Soft Drinks
217,Vanilla  Milkshake,Shakes
218,Chocolate Milkshake,Shakes
219,Watermelon Juice,Fruit Juice
220,Tiramisu,Desserts
221,Beef Bolognese,Pasta
222,Beef Lasagna,Pasta
223,Hot Butter Cuttlefish,Bites
224,Nasi Goreng,Rice
225,Beef Pasta,Pasta
226,Chicken Fried Rice Full,Rice
227,Tekka Maki (Tuna),Sushi
228,Chicken Kottu,Kottu
229,Shake Maki (Salmon),Sushi
230,Hot Butter Mushroom,Bites
231,Kappa Maki,Sushi
232,Devilled Mutton,Stir Fry
233,Avo Q Shake (Salmon) Maki,Sushi
234,Seafood Chopsuey Rice Full,Rice
235,Tuna Salad Maki,Sushi
236,Mutton Kottu,Kottu
237,Salmon Salad Maki,Salad
238,Devilled Fish,Stir Fry
239,Wasabi Crab Maki,Sushi
240,Avocado Kappa Maki,Sushi
241,Seafood Kottu,Kottu
242,Mixed Meat Nasi Goreng Small,Rice
243,Teriyaki Chicken Maki,Sushi
244,Ebi (Prawn) Nigiri,Sushi
245,Chicken Nai Miris Fried Rice,Rice
246,Maguro (Tuna) Nigiri,Sushi
247,Chicken Set Menu,Rice
248,Shake (Salmon) Nigiri,Sushi
249,Prawns Set Menu,Rice
250,Vegetable Set Menu,Rice
251,Kaiso Salad,Salad
253,Devilled Chicken,Stir Fry
256,Devilled Pork,Stir Fry
257,Deviled Prawns,Stir Fry
258,Miso Soup,Soup
259,Deviled Mutton,Stir Fry
260,Devilled Sausages,Stir Fry
261,Chicken Nai Miris Rice (L),Rice
262,Black Pork Kotthu,Kottu
266,Kani (Crab) Chahan,Rice
267,Ebi (Prawns) Chahan,Rice
268,Chicken Chahan,Rice
270,Negi (Leek) Chahan,Rice
271,French Fries,Fast Food
272,Fried Chicken,Fast Food
274,Devilled Prawns,Stir Fry
275,Kochchi Sausage,Bites
276,Chilli Pork,Stir Fry
278,Vegetable Chahan,Rice
279,Al Pesto,Pasta
280,Onigiri,Rice
281,Baby Corn Golden Fry,Curry
282,Ebi Curry,Curry
285,Chicken Katsu Curry,Curry
286,Mushroom 65,Bites
287,Yasai Curry,Curry
288,Gobhi 65,Bites
290,Paneer 65,Bites
291,Oyako Don,Rice
292,Vegetable & Onion Pakoda,Bites
294,Paneer Pakoda,Bites
295,Crispy Chilli Vegetable,Stir Fry
296,Aloo Pakoda,Bites
297,Chicken Sweet Corn Soup,Soup
298,Gobhi Pakoda,Bites
299,Hot & Sour Soup,Soup
300,Cheese Pakoda,Bites
301,Potato Salad with Cheese & Tomato,Salad
302,Vegetable Noodle Soup,Soup
303,Alla Broccoli,Pasta
304,Mutton Babath Rice & Curry,Rice
306,Sweet Corn Vegetable Soup,Soup
307,Cream of Tomato Soup,Soup
309,Cream of Mushroom Soup,Soup
310,Tuna Salad in Avo,Salad
311,Vegetable Hot & Sour Soup,Soup
312,Vegetable Soup,Soup
313,Seafood Noodles,Noodles
314,Rasam,Soup
315,Singapore Chow Mein,Noodles
316,Vegetable Biriyani,Biriyani
317,Special Biriyani,Biriyani
318,Jeera Rice,Rice
319,Matar Pulau,Rice
320,Shahi Pulau,Rice
321,Cashew Pulau,Rice
322,Vegetable Pulau,Rice
323,Paneer Pulau,Rice
324,Butter Rice,Rice
325,Seafood Chopsuey Small,Seafood
326,Curd Rice,Rice
327,Mixed Meat Nasi Goreng Large,Rice
328,Steamed Basmathi Rice,Rice
330,Pork Kottu,Kottu
331,Garlic & Onion Fried Rice,Rice
333,Mushroom Fried Rice,Rice
335,Thai Vegetable Fried Rice,Rice
337,Vegetable Nasi Goreng,Rice
338,Vegetable Chopsuey Rice,Rice
339,Vegetable Noodles,Noodles
340,Thai Vegetable Noodles,Noodles
341,Hong Kong Fried Rice,Rice
342,Szechuan Rice,Rice
343,Manchurian Fried Rice,Rice
344,Paneer Butter Masala,Curry
345,Kadai Paneer,Curry
346,Shahi Paneer,Curry
347,Matar Paneer,Curry
348,Gobhi Aloo,Curry
349,Aloo Matar,Curry
350,Aloo Fry,Bites
351,Dhal Butter Fry,Stir Fry
352,Channa Masala,Curry
353,Gobhi Masala,Curry
354,Gobhi Cheese Butter Masala,Curry
355,Cashew Fry,Bites
356,Koya Cashew,Curry
357,Malai Kofta,Curry
358,Chicken Pasta,Pasta
360,Paneer Tikka Masala,Curry
361,Kadai Vegetable Masala,Curry
362,Mushroom Butter Masala,Curry
363,Mushroom Pepper Fry,Curry
364,Gobhi Tikka Masala,Curry
365,Aloo Jeera,Curry
366,Aloo Channa Masala,Curry
367,Navaratna Kurma,Curry
368,Mix Vegetable Curry,Curry
370,Spaghetti Bolognese,Pasta
371,Pork Rice & Curry,Rice
372,Dhal Thadduka,Curry
376,Paneer Manchurian,Curry
377,Mushroom Rice & Curry,Rice
378,Carbonara Chicken Bacon,Pasta
379,Chicken Lasagna,Pasta
380,Mixed Fried Rice,Rice
381,Chicken Nasi Goreng,Rice
382,Egg Nasi Goreng,Rice
383,Gobhi Manchurian,Curry
384,Beef Babath Rice & Curry,Rice
385,Chicken Fried Rice,Rice
386,Carbonara Di Gamberetti,Pasta
387,Mushroom Manchurian,Curry
388,Plain Rice,Rice
389,Spaghetti Di Marinara,Pasta
390,Chicken Dolphin Kottu,Kottu
391,Cheese Chicken Dolphin Kottu,Kottu
393,Hendalla Rice & Curry,Rice
394,Chilli Mushroom,Stir Fry
395,White Rice with Chicken Curry,Rice
396,White Rice with Devilled Chicken,Rice
397,Chilli Paneer,Stir Fry
398,Chilli Gobhi,Stir Fry
399,White Rice with Curry Fish,Rice
400,Vege Red Rice & Curry,Rice
401,White Rice with Fried Fish,Rice
402,Panner Pepper Fry,Curry
403,Mutton Bolognese,Pasta
404,Paneer Chettinad,Curry
406,Mushroom Dopiaza,Curry
408,Bullseye Rice & Curry,Rice
409,Mushroom Chettinad,Curry
410,White Rice with Chicken Sausages (Jumbo),Rice
411,Vegetable Chettinad,Curry
412,Pizza Marinara,Pizza
413,Vegetable Chopsuey,Stir Fry
414,White Rice with Prawns,Rice
416,Devilled Mushrooms,Stir Fry
418,Devilled Bean Curd,Stir Fry
419,Green Beans with Mushrooms,Curry
420,Yellow Rice with Chicken Meatballs,Rice
421,Bean Curd in Black Bean Sauce,Stir Fry
422,Yellow Rice with Chicken Curry,Rice
424,Yellow Rice with Devilled Chicken,Rice
425,Mushroom in Hot Garlic Sauce,Stir Fry
426,Yellow Rice with Curry Fish,Rice
427,Plain Dosai,Dosa
428,Masala Dosai,Dosa
429,Yellow Rice with Fried Fish,Rice
430,Ghee Dosai,Dosa
431,Yellow Rice with Egg,Rice
432,Ghee Masala Dosai,Dosa
433,Yellow Rice with Omelette,Rice
434,Ghee Paper Masala Dosai,Dosa
435,Crispy Calamari Pizza,Pizza
436,Omelette Rice & Curry,Rice
437,Yellow Rice with Chicken Sausages (Jumbo),Rice
438,Paper Dosai,Dosa
439,Paper Masala Dosai,Dosa
440,Yellow Rice with Prawns,Rice
442,Yellow Rice with Vegetables,Rice
443,Cheese Roast,Bites
444,Pizza Frutta Di Mare,Pizza
445,Spicy Hot Masala Dosai,Dosa
446,Mushroom Masala Dosai,Dosa
447,Onion Dosai,Dosa
449,Red Rice with Vegetables,Rice
450,Rava Dosai,Dosa
451,Onion Rava Dosai,Dosa
452,Cashew Rava Dosai,Dosa
453,Prawns Rice & Curry,Rice
454,Red Rice with Chicken,Rice
455,Butter Rava Masala Dosai,Dosa
456,Red Rice with Omelette,Rice
457,Onion Othappam,Dosa
459,(2) Poori,Roti
460,(2) Chapathi,Roti
461,Plain Naan,Roti
462,Butter Naan,Roti
463,Noodles with Chicken,Noodles
464,Noodles with Omelette,Noodles
465,Stuffed Naan,Roti
466,Paneer Naan,Roti
467,Garlic Naan,Roti
468,Cheese Naan,Roti
470,Lachcha Parota,Roti
471,Aloo Parota,Roti
472,Gobhi Parota,Roti
473,Paneer Parota,Roti
474,Cuttlefish Rice & Curry,Rice
475,Spicy Mutton Pizza,Pizza
476,Cheese Parota,Roti
477,Plain Parota,Roti
478,Ambulthiyal Rice & Curry,Rice
479,Pizza Carpaccio,Pizza
480,Kurumi Naan,Roti
481,"Paratha's with Pork ,Dhal and polsambol ",Roti
482,Tandoori Parota,Roti
483,Veg Rotti,Short eats
484,(2) Parota Dalda,Roti
485,(1) Chicken Rotti,Short eats
486,Spicy BBQ Beef Pizza,Pizza
487,Chilli Parota,Stir Fry
488,Budget Mixed Rice,Rice
489,(1) Pork Rotti,Short eats
490,Vegetable Parota Kotthu,Kottu
491,(1) Beef Rotti,Short eats
493,Vege Dine Special Parota Kotthu,Kottu
494,(1) Fish Rotti,Short eats
496,Cheese Kottu,Kottu
497,(1) Egg Rotti,Short eats
499,(2) Vegetable Samosa,Short eats
500,(2) ULUNDU VADAI,Street Food
501,Curd Vadai,Short eats
502,Sambar Vadai,Street Food
503,Macaroni with Garlic Sauce,Pasta
504,Spaghetti Napoleon,Pasta
507,Mixed Fruit Salad,Salad
508,Fish Mix Fried Rice(Thalapath),Rice
509,Beef Pepperoni Pizza,Pizza
511,Lime Juice,Fruit Juice
512,Papaya Juice,Fruit Juice
513,Pizza Vegetariano,Pizza
514,Chicken Mixed Fried Rice,Rice
515,Quatro Formaggio,Pizza
516,Margarita,Pizza
517,Chicken rice Set Menu,Rice
518,Milkshake,Shakes
519,Faluda,Shakes
520,Pizza Alla Broccoli,Pizza
521,Pork Mix Fried Rice,Rice
522,Lassi,Shakes
523,Beef Mix Fried Rice,Rice
524,Pizza Siciliana,Pizza
525,Meat Mix Fried Rice,Rice
526,Spicy BBQ Chicken Pizza,Pizza
527,Mushroom Pulau,Rice
528,Seafood Fried Rice,Seafood
529,Pizza Pollo Al Funghi,Pizza
530,All Mix Fried Rice,Rice
531,Pizza Capriciosa,Pizza
532,Sausage Delight,Pizza
533,Veg Fried Rice,Rice
534,Egg Nasi,Rice
535,Mix Nasi,Rice
536,Italian Green Salad,Salad
537,Pollo Insalata (Chicken Salad),Salad
538,Fish Nasi,Rice
539,Marinara Salad (Seafood Salad),Salad
540,Cream Mushroom Soup,Soup
541,Zuppa Di Pollo (Chicken Soup),Soup
542,Zuppa Frutta Di Mare (Seafood Soup),Soup
543,Chicken Nasi,Rice
544,Fried Rice,Rice
545,Beef Nasi,Rice
546,Devilled Chicken Fried Rice,Rice
547,Seafood Nasi,Rice
550,Egg Kotthu,Kottu
553,Naimiris & Lemon Rice,Rice
554,Roast Chicken Kotthu,Kottu
555,Pork Kotthu,Kottu
556,Seafood Nasigoreng,Rice
557,Vegetable Kottu,Kottu
558,Beef Kotthu,Kottu
559,Chicken Cheese Kottu,Kottu
560,Seafood Cheese Kottu,Kottu
561,Beef Cheese Kottu,Kottu
562,Mutton Cheese Kottu,Kottu
563,Mutton Kotthu,Kottu
564,Naimiris Pizza,Pizza
565,Thalapath Kotthu,Kottu
566,Prawn Kotthu,Kottu
567,Cuttlefish Kotthu,Kottu
568,Pork Cheese Kotthu,Kottu
569,Beef Cheese Kotthu,Kottu
570,Roast Chicken Cheese Kotthu,Kottu
571,Vegetable Cheese Kotthu,Kottu
572,Egg Cheese Kotthu,Kottu
573,Babath Kotthu,Kottu
574,Roast Chicken Dolphin Kotthu,Kottu
575,Pork Dolphin Koththu,Kottu
576,Beef Dolphin Kotthu,Kottu
577,Fish Dolphin Kotthu,Kottu
578,Cuttlefish Dolphin Kotthu,Kottu
579,Egg Dolphin Kotthu,Kottu
581,Egg Bullseye Noodles,Noodles
582,Omelette Noodles,Noodles
584,Thalapath Fish Noodles,Noodles
586,Pork Noodles,Noodles
587,Beef Noodles,Noodles
588,Mutton Noodles,Noodles
589,Prawn Noodles,Noodles
590,Cuttlefish Noodles,Noodles
591,Vegetable Pasta,Pasta
592,Egg Bullseye Pasta,Pasta
593,Omelette Pasta,Pasta
594,Fish Pasta,Pasta
595,Thalapath Fish Pasta,Pasta
597,Pork Pasta,Pasta
599,Mutton Pasta,Pasta
600,Prawns Pasta,Pasta
601,Cuttlefish Pasta,Pasta
610,10 String Hoppers with Pork,Curry
611,10 String Hoppers with Chicken,Curry
612,10 String Hoppers with Beef,Curry
613,Mutton Soup,Soup
614,Chicken Soup,Soup
639,Sausage Omelette Chapathi,Roti
640,Sausage & Cheese Omelette Chapathi,Roti
643,Chicken Omelette Chapathi,Rice
644,Chicken & Cheese Omelette Chapathi,Roti
647,Cheese Omelette Chapathi,Roti
649,Mushroom & Omelette Chapathi,Roti
650,"Mushroom, Sausage & Omelette Chapathi",Roti
651,"Chicken, Mushroom & Omelette Chapathi",Roti
653,Cream of Vegetable Soup,Soup
655,Cream of Chicken Soup,Soup
676,Large Plain Pol Rotti,Roti
694,Large Pol Rotti & Lunumiris,Roti
700,Large Pol Rotti & Pol Sambol,Roti
706,Vegetable Burger,Burger
707,Chicken Burger,Burger
708,Lamb Burger,Burger
709,Beef Burger,Burger
712,Grilled Chicken Burger,Burger
713,Crispy Chicken Burger,Burger
715,Beef Street Burger,Burger
716,Chicken Submarine,Submarine
718,Beef Submarine,Submarine
721,Large Pol Rotti & Green Chilie Pol Sambol,Roti
724,Large Pol Rotti & Nai Miris Pol Sambol,Roti
726,Egg Biriyani,Biriyani
728,Chicken Biriyani,Biriyani
730,Mutton Biriyani,Biriyani
731,Beef Kottu,Kottu
733,Large Pol Rotti with Naimiris Fresh Onion Sambol,Roti
735,Prawns Kottu,Kottu
738,Large Pol Rotti with Green Chilie Fresh Onion Sambol,Roti
740,eKitchen Special Fried Rice,Rice
741,Mixed Kottu,Kottu
742,Chicken Paan Kottu,Kottu
745,Quarter Chicken Cheese Kottu,Kottu
765,Mixed Noodles,Noodles
767,Chicken Spaghetti Pasta,Pasta
768,Large Pol Rotti with Kochchi Fried Onion Sambol,Roti
770,Fish Kottu,Kottu
772,Mixed Spaghetti Pasta,Pasta
780,eKitchen Special Kottu,Kottu
782,Pepper Chicken Lemak,Rice
786,Rotti & Fried Pol Sambol,Roti
787,Pepper Beef Lemak,Rice
788,Pittu Kottu,Kottu
789,Rotti & Seeni Sambol,Roti
790,Chicken Nasi Lemak,Rice
796,2x Large Pol Rotti & Pork Curry,Curry
801,2x Large Pol Rotti & Polos Curry,Curry
802,eKitchen Special Noodles,Noodles
807,Beef Fried Rice,Rice
813,E Kitchen Devilled Mix,Stir Fry
816,2x Large Pol Rotti & Bala Karawala Baduma,Roti
817,Chicken & Prawns FR,Rice
824,2x Large Pol Rotti & Dhal Curry,Curry
830,Beef Nasi Goreng,Rice
831,Prawns Nasi Goreng,Rice
833,Mixed Nasi Goreng,Rice
834,Large Pol Rotti & Chicken,Roti
836,Large Pol Rotti & Sausage,Roti
840,Dry Chilie Omelette Rotti,Roti
843,Green Chilie Omlette Rotti,Roti
844,Nai Miris Omlette Rotti,Roti
848,Chocolate Pol Rotti,Desserts
851,Pineapple Juice,Fruit Juice
852,Virgin Mojito,Soft Drinks
853,Butter Sugar Pol Rotti,Desserts
854,Strawberry Mojito,Soft Drinks
857,Organic Strawberry Jam Pol Rotti,Desserts
858,Organic Strawberry Jam with Butter Pol Rotti,Desserts
859,Pol Pani Rotti,Desserts
861,Marmite Pol Rotti,Roti
871,Vegetable Rice Bowl,Rice
872,Penne Pasta,Pasta
876,Chicken La-Sara,Pizza
877,Chicken Plate,Bites
880,Fish Plate,Bites
882,Chicken Wrap,Wrap
883,South West Wrap,Wrap
884,Triple Berry,Shakes
885,Strawberry Mango,Fruit Juice
886,Pineapple Paradise,Fruit Juice
892,Neapolitan,Pizza
893,Plain Biriyani,Biriyani
895,BBQ Chicken Biriyani,Biriyani
899,BBQ Chicken,BBQ
901,Chicken Boti (Boneless),Bites
902,Chicken Malai Boti,Bites
903,Beef Boti (Boneless),Bites
904,Dhal Fry,Curry
910,Chappathi,Roti
912,Chicken Biriyani Sawan,Biriyani
914,Chicken BBQ Biriyani Sawan,Biriyani
915,Chicken Biriyani & BBQ Sawan,Biriyani
919,Pizza Pugliese,Pizza
920,Mix Fried Rice,Rice
922,Hawaiano,Pizza
926,Pizza Nataliya,Pizza
927,Mahdi Special Fried Rice,Rice
929,Pakistani Biriyani,Biriyani
932,Pizza Nastro Azzuro,Pizza
936,Pizza Golosa,Pizza
937,Red Kakaulu Rice Portion,Rice
941,Pizza Cuore Amalfitana,Pizza
944,Cheesy Tonno,Pizza
945,Beef Keema,Curry
946,Chicken Devilled,Stir Fry
949,Mama Regina,Pizza
950,Four Vegetable Curries with White Rice,Rice
952,Pizza Navelli,Pizza
953,Chicken Palandi,Curry
956,Four Vegetable Curries with Red Kakulu Rice,Rice
958,Pizza Bella Vista Special,Pizza
961,Four Vegetable Curries with Yellow Rice,Rice
963,Pizza Al BBQ Chicken,Pizza
965,Beef Devilled,Stir Fry
967,Boiled Egg & Four Vegetable Curries with White Rice,Rice
968,Pizza Pollo Alla Diavola,Pizza
971,Boiled Egg & Four Vegetable Curries with Red Kakulu Rice,Rice
975,Boiled Egg & Four Vegetable Curries with Yellow Rice,Rice
976,Calamari Fritti,Bites
977,Spaghetti Al Pomodoro,Pasta
978,Egg Bullseye &  Four Vegetable Curries with White Rice,Rice
979,Spaghetti Alla Bolognese,Pasta
980,Spaghetti Allo Scoglio,Pasta
981,Penne Ai Frutti Di Mare,Pasta
982,Spaghetti Con Pollo,Pasta
983,Egg Bullseye & Four Vegetable Curries with Red Kakulu Rice,Rice
984,Penne Con Formaggi,Pasta
985,Spaghetti Alla Carbonara,Pasta
986,Pasta Alfredo,Pasta
988,Egg Bullseye & Four Vegetable Curries with Yellow Rice,Rice
989,Lasagna Della Casa,Pasta
990,Egg Omelette &  Four Vegetable Curries with White Rice,Rice
995,Pepsi,Soft Drinks
996,7 Up,Soft Drinks
997,Egg Omelette & Four Vegetable Curries with Red Kakulu Rice,Rice
999,Egg Omelette & Four Vegetable Curries with Yellow Rice,Rice
1004,Fish Ambultiyal & Four Vegetable Curries with White Rice,Rice
1007,Mix Kottu,Kottu
1008,Fish Ambultiyal & Four Vegetable Curries with Red Kakulu Rice,Rice
1012,Fish Ambultiyal & Four Vegetable Curries with Yellow Rice,Rice
1013,Vegetable Fried Noodles With Egg,Noodles
1014,Fried Linna Fish & Four Vegetable Curries with White Rice,Rice
1015,Mahdhi Special Kottu,Kottu
1020,Fried Linna Fish & Four Vegetable Curries with Red Kakulu Rice,Rice
1024,Executive Pack Prawns,Rice
1025,Fried Linna Fish & Four Vegetable Curries with Yellow Rice,Rice
1030,Fried Lake Fish &  Four Vegetable Curries with White Rice,Rice
1033,Fried Lake Fish & Four Vegetable Curries with White Rice,Rice
1037,Executive Pack Prawns & Fish,Rice
1038,Executive Pack Prawns & Pork,Rice
1039,Mix Cheese Kottu,Kottu
1040,Executive Pack Prawns & Chicken,Rice
1041,Cuttle Fish & Four Vegetable Curries with White Rice,Rice
1042,Mahdi Special Cheese Kottu,Kottu
1043,Cuttle Fish & Four Vegetable Curries with Red Kakulu Rice,Rice
1044,Prawns & Four Vegetable Curries with White Rice,Rice
1045,Prawns & Four Vegetable Curries with Red Kakulu Rice,Rice
1046,Chicken String Hoppers Kottu,Kottu
1047,Beef String Hoppers Kottu,Kottu
1048,Pork & Four Vegetable Curries with White Rice,Rice
1049,Seafood String Hoppers Kottu,Kottu
1050,Pork &  Four Vegetable Curries with Red Kakulu Rice,Rice
1051,Mahdi Special Hoppers Kottu,Kottu
1052,Pork & Four Vegetable Curries with Yellow Rice,Rice
1054,Mix String Hoppers Kottu,Kottu
1055,Boiler Chicken & Four Vegetable Curries with White Rice,Rice
1057,Boiler Chicken &  Four Vegetable Curries with Red Kakulu Rice,Rice
1059,Egg String Hoppers Kottu,Kottu
1061,Boiler Chicken &  Four Vegetable Curries with Yellow Rice,Rice
1063,Chicken Dolphin,Kottu
1064,Chicken Stew & Four Vegetable Curries with Red Kakulu Rice,Rice
1065,Beef Dolphin,Kottu
1067,Chicken Stew & Four Vegetable Curries with Yellow Rice,Rice
1069,Mahdi Special Dolphin,Kottu
1070,Curry Chicken & Four Vegetable Curries with White Rice,Rice
1072,Curry Chicken &  Four Vegetable Curries with Red Kakulu Rice,Rice
1076,Curry Chicken & Four Vegetable Curries with Yellow Rice,Rice
1077,Mix Dolphin Kottu,Kottu
1079,Seafood Dolphin Kottu,Kottu
1081,Egg Parata (2),Roti
1087,Mix Noodles,Noodles
1088,Fruit Salad without Ice Cream,Desserts
1089,(2) Watalappan Cup,Desserts
1091,(2) Biscut Pudding Cup,Desserts
1092,Mahdi Special Noodles,Noodles
1095,Chicken Bun (2),Short eats
1096,Ghee Parata (2),Roti
1192,"Belgian Waffle with Eggs, Feta Cheese & Spicy Pol Sambol",Waffles
1207,Passion Fruit Juice,Fruit Juice
1209,Lime with Soda,Soft Drinks
1212,Mango Juice,Fruit Juice
1213,Avocado Juice,Fruit Juice
1214,Wood Apple Juice,Fruit Juice
1215,Falooda,Shakes
1219,Mango Lassi,Shakes
1220,Orange Juice,Fruit Juice
1224,(2) Masala Vadai,Street Food
1226,Egg Rotti (2),Roti
1227,(2) Ulundu Vadai,Street Food
1228,Paratha (4),Roti
1229,(2) Aloo Bonda,Bites
1230,(2) Vegetable Rotti,Short eats
1233,(2) Parata,Roti
1234,Aloo Parata,Roti
1236,Onion Uthappam,Dosa
1237,Tomato Uthappam,Dosa
1238,Chapathi with Kuruma,Roti
1240,Poori with Kuruma,Roti
1241,Chilli Parata,Roti
1243,Vegetable String Hoppers Biriyani,Biriyani
1245,Macaroni,Pasta
1246,Rice & Curry,Rice
1248,Noodles,Noodles
1251,(2) Plain Dosa,Dosa
1253,Ghee Masala Dosa,Dosa
1254,Gingerly Oil Masala,Condiments
1255,Cheese Dosa,Dosa
1256,Cheese Masala Dosa,Dosa
1257,Garlic Dosa,Dosa
1258,Garlic Masala Dosa,Dosa
1259,Garlic Dosa with Cheese,Dosa
1260,Mushroom Dosa with Cheese,Dosa
1261,Mushroom Masala Dosa,Dosa
1262,Mushroom Masala with Cheese,Curry
1263,Garlic Masala with Cheese,Dosa
1264,(2) Laddu,Indian Sweets
1265,(2) Fruit Laddu,Indian Sweets
1266,(2) Jilebi,Indian Sweets
1267,(2) Chocolate Barfi,Indian Sweets
1268,(2) Mysore Packs,Indian Sweets
1273,Milk Masala Tea (2),Tea
1274,Sweet Corn Chicken Soup,Soup
1275,Milk Coffee (2),Coffee
1276,Sweet Corn Seafood Soup,Soup
1278,Sweet Corn Prawns Soup,Soup
1281,Sweet Corn Mutton Soup,Soup
1282,Ghee Roast,Condiments
1283,Sweet Corn Egg Soup,Soup
1284,Atta Dosa,Dosa
1285,Hot & Sour Chicken Soup,Soup
1286,Kurakkan Dosa,Dosa
1287,Hot & Sour Prawns Soup,Soup
1288,Onion Dosa,Dosa
1289,Hot & Sour Mutton Soup,Soup
1290,Rava Dosa,Dosa
1291,Hot & Sour Egg Soup,Soup
1293,Hot & Sour Vegetable Soup,Soup
